1,,Iunius,Brutus
2,,Tarquinius,Collatinus
3,,Valerius,Poplicola
4,,Lucretius,Tricipitinus
5,,Horatius,Pulvillus
6,,Minucius,(Augurinus)
7,,Veturius,Geminus
10,,Lucretius,Tricipitinus
11,,Herminius,Aquilinus
12,,Larcius,Rufus or Flavus 
13,,Valerius,(Volusus)
15,,Postumius,Tubertus
17,,Larcius,Flavus or Rufus
18,,Menenius,Lanatus
19,,Verginius,Tricostus
20,,Cassius,Vecellinus
21,,Cominius,Auruncus
23,,Sulpicius,Camerinus
24,,Tullius,Longus
25,,Aebutius,Helva
27,,Postumius,Albus
28,,Sempronius,Atratinus
29,,Cloelius,Siculus
30,,Minucius,Augurinus
31,,Verginius,Tricostus
32,,Claudius,Sabinus
33,,Servilius,Priscus
35,,Verginius,Tricostus
36,,Veturius,Geminus
37,,Valerius,Maximus
38,,Servilius,Priscus
39,,Albinius,Paterculus
40,,Iunius,Brutus
43,,Sicinius,Vellutus
44,,Viscellius (or Visellius),Ruga
48,,Geganius,Macerinus
49,,Minucius,Augurinus
51,,Valerius,Poplicola
53,,Iunius,Brutus
55,,Sulpicius,Camerinus
56,,Iulius,Iullus
57,,Pinarius,Mamertinus
58,,Nautius,Rutilus
59,,Furius,(Medullinus)
61,,Sicinius,(Sabinus)
62,,Aquillius,(Tuscus)
63,,Verginius,Tricostus
65,,Mucius,Scaevola
67,,(Valerius),Laevinus
69,,Tullius,Tolerinus
76,,Cornelius,Maluginensis
77,,Fabius,Vibulanus
78,,Fabius,Vibulanus
79,,Valerius,Potitus
80,,Aemilius,Mamercus
82,,Fabius,Vibulanus
85,,Iulius,Iullus
86,,Furius,Fusus
88,,Manlius,Cincinnatus
91,,Verginius,Tricostus
92,,Servilius,Structus
96,,Menenius,Lanatus
97,,Verginius,Tricostus
98,,Servilius,Structus
101,,Nautius,Rutilus
104,,Furius,Medullinus
105,,Manlius,Vulso
106,,Iulius,Iullus
107,,Verginius,Esquilinus
109,,Pinarius,Mamercinus
110,,Furius,Medullinus
113,,Claudius,Crassinus
114,,Quinctius,Capitolinus
116,,Aemilius,Mamercus
121,,Numicius,Priscus
122,,Verginius,(Tricostus)
123,,Servilius,Structus
124,,Fabius,Vibulanus
125,,Postumius,Albus
126,,Postumius,Albus
127,,Furius,Medullinus
129,,Servilius,Priscus
130,,Aebutius,Helva
132,,Valerius,(Maximus)
133,,Lucretius,Tricipitinus
134,,Veturius,Geminus
135,,Terentilius,Harsa
137,,Volumnius,Amintinus
138,,Sulpicius,Camerinus
140,,Volscius,Fictor
141,,Claudius,Crassus
142,,Quinctius,Cincinnatus
143,,Cornelius,Maluginensis
145,,Servilius,(Structus)
146,,(Furius?),Carve(tus)
147,,Minucius,Esquilinus
148,,Tarquitius,Flaccus
149,,Valerius,Maximus
151,,Minucius,Esquilinus
152,,Fabius,Vibulanus
153,,Verginius,Tricostus
156,,Romilius,Rocus
157,,Veturius,Cicurinus
158,,Tarpeius,Montanus
159,,Aternius,Varus
160,,Calvius,Cicero
161,,Siccius,Dentatus
164,,Curiatius,Fistus
165,,Horatius,Pulvillus
166,,Menenius,Lanatus
168,,Genucius,Augurinus
169,,Veturius,Crassus
170,,Veturius,Crassus
172,,Sestius,Capito(linus)
173,,Cornelius,Maluginensis
174,,Sergius,Esquilinus
175,,Poetelius,Libo
176,,Antonius,Merenda
177,,Duillius,(Longus)
178,,Oppius,Cornicen
180,,Valerius,Potitus
181,,Horatius,(Tu)rrinus
193,,Furius,(Pacilus)
194,,Papirius,(Crassus)
195,,Herminius,Coritinesanus
196,,Verginius,Tricostus
197,,Aternius,(Varus)
198,,Trebonius,Asper
199,,Geganius,Macerinus
200,,Iulius,(Iullus)
201,,Furius,Fusus
203,,Aemilius,Mamercinus
205,,Genucius,Augurinus
206,,Curtius,Philo (or Chilo)
209,,Sempronius,Atratinus
210,,Atilius,Luscus
211,,Cloelius,Siculus
212,,Papirius,Mugillanus
213,,Sempronius,Atratinus
214,,Fabius,Vibulanus
215,,Aebutius,Helva
218,,Aebutius,Helva
219,,Furius,Pacilus
220,,Papirius,Crassus
222,,Geganius,Macerinus
223,,Menenius,Lanatus
226,,Servilius,Ahala
231,,Quinctius,Cincinnatus
234,,Cloelius,Tullus
237,,Sergius,Fidenas
238,,Valerius,Lactuca
239,,Cornelius,Cossus
240,,Papirius,Crassus
241,,Cornelius,Maluginensis
243,,Verginius,Tricostus
244,,Servilius,Priscus
245,,Manlius,Capitolinus
246,,Sulpicius,Camerinus
247,,Cornelius,Cossus
249,,Postumius,Tubertus
251,,Pinarius,Mamercinus
252,,Furius,Medullinus
254,,Quinctius,Pennus
255,,Iulius,Mento
258,,Postumius,Albus
260,,Papirius,Crassus
261,,Iulius,Iullus
264,,Lucretius,Tricipitinus
266,,Servilius,Structus
267,,Papirius,Mugillanus
268,,Postumius,(Albinus)
269,,Sempronius,Atratinus
270,,Horatius,Barbatus
271,,Claudius,Crassus
272,,Nautius,Rutilus
273,,Iulius,Iullus
274,,Sempronius,Atratinus
275,,Fabius,Vibulanus
278,,Manlius,Capitolinus
279,,Antonius,Merenda
285,,Quinctius,Capitolinus
286,,Manlius,Vulso
292,,Menenius,Lanatus
293,,Lucretius,Tricipitinus
294,,Nautius,Rutilus
295,,Papirius,Mugillanus
296,,Rutilius,Crassus
297,,Veturius,Crassus
300,,Cornelius,Cossus
301,,Valerius,Potitus
303,,Quinctius,Cincinnatus
305,,Cornelius,Cossus
306,,Valerius,Potitus
307,,Postumius,Albinus
310,,Cornelius,Cossus
311,,Fabius,Vibulanus
312,,Furius,Pacilus
314,,Papirius,Mugillanus (or Atratinus)
316,,Aemilius,Mamercinus
322,,Fabius,Ambustus
325,,Iulius,Iullus
326,,Cornelius,Cossus
327,,Servilius,Ahala
328,,Cornelius,Rutilus
329,,Fabius,Vibulanus
330,,Cornelius,Cossus
332,,Manlius,Vulso
333,,Sergius,Fidenas
334,,Cornelius,Maluginensis
335,,Claudius,Crassus
336,,Quinctilius,Varus
337,,Iulius,Iullus
338,,Furius,Fusus
340,,Furius,Camillus
341,,Postumius,Albinus
342,,Servilius,Fidenas
343,,Verginius,Tricostus
344,,Sulpicius,Camerinus
347,,Iulius,Iullus
354,,Licinius,Calvus
355,,Manlius,Vulso
356,,Titinius,Pansa
357,,Maelius,Capitolinus
358,,Furius,Medullinus
359,,Publilius,Philo
360,,Genucius,Augurinus
361,,Atilius,Priscus
362,,Pomponius,Rufus
363,,Duillius,Longus
364,,Veturius,Crassus
365,,Publilius,Philo
366,,Valerius,Lactucinus
367,,Claudius,Ugo
368,,Marius,Appius
371,,Sergius,Fidenas
372,,Postumius,Albinus
373,,Cornelius,Maluginensis
374,,Manlius,Vulso
375,,Cornelius,Cossus
376,,Cornelius,Scipio
380,,Aemilius,Mamercinus
381,,Valerius,Poplicola
382,,Postumius,Albinus
384,,Catlus,Verus
387,,Lucretius,Tricipitinus
388,,Sulpicius,Camerinus
389,,Papirius,Cursor
390,,Cornelius,Maluginensis
391,,Manlius,Capitolinus
393,,Furius,Fusus
396,,Fabius,Ambustus
400,,Fabius,Ambustus
401,,Sulpicius,Longus
402,,Folius,(Flaccinator)
403,,Fabius,Dorsuo
406,,Manlius,Capitolinus
407,,Aemilius,Mamercinus
408,,Postumius,Albinus
409,,Papirius,Mugillanus
411,,Servilius,Ahala
414,,Furius,Camillus
415,,Quinctius,Cincinnatus
416,,Iulius,Iullus
417,,Aquillius,Corvus
418,,Sulpicius,Rufus
419,,Sergius,Fidenas
420,,Menenius,Lanatus
426,,Cornelius,Maluginensis
427,,Quinctius,Cincinnatus
428,,Horatius,Pulvillus
429,,Valerius,Potitus
432,,Cornelius,Cossus
433,,Papirius,Crassus
438,,Papirius,Crassus
440,,Servilius,Fidenas
441,,Sulpicius,(Camerinus)
442,,Fabius,Albus
443,,Furius,Medullinus
444,,Fabius,Ambustus
445,,Sulpicius,Peticus
446,,Papirius,Crassus
448,,Sempronius,Atratinus
449,,Sulpicius,Camerinus
450,,Manlius,Capitolinus
453,,Albinius,-
454,,Antistius,-
456,,Erenucius,-
458,,Cloelius,Siculus
459,,Horatius,-
460,,Geganius,(Macerinus)
461,,Servilius,Priscus
462,,Cloelius,Siculus
464,,Veturius,(Crassus)
465,,Sulpicius,Praetextatus
466,,Quinctius,Cincinnatus
468,,Licinius,Stolo
469,,Sextius,Sextinus
471,,Valerius,Potitus
473,,Cornelius,Cossus
474,,Cornelius,Maluginensis
475,,Quinctius,(Cincinnatus)
476,,Quinctius,Cincinnatus
477,,Servilius,Structus
478,,Papirius,Crassus
479,,Veturius,Crassus
481,,Licinius,Calvus
482,,Geganius,Macerinus
483,,Quinctius,Pennus
484,,Aemilius,Mamercinus
485,,Postumius,Regillensis
486,,Furius,Camillus
487,,Quinctius,Capitolinus
489,,Genucius,Aventinensis
490,,Servilius,Ahala
491,,Popillius,Laenas
492,,Genucius,Aventinensis
493,,Manlius,Capitolinus
494,,Pinarius,Natta
495,,(Cornelius or Mucius),Sca.u.la (Scapula or Scaevola)
497,,Manlius,Imperiosus
498,,Fabius,Ambustus
499,,Poetelius,Libo
500,,Manlius,Capitolinus
501,,Fabius,Ambustus
502,,Plautius,Proculus
503,,Valerius,Poplicola
505,,Marcius,Rutilus
510,,Cornelius,Cossus
511,,Valerius,Poplicola
512,,Iulius,(Iullus)
513,,Cornelius,Scipio
515,,Decius,Mus
517,,Publilius,Philo)
519,,Cornelius,Scipio
522,,Valerius,Maximus
523,,Plautius,Venox or Venno
524,,Fabius,Dorsuo
525,,Sulpicius,Camerinus
526,,Furius,Camillus
528,,Fabius,Ambustus
529,,Aemilius,Mamercinus
533,,Papirius,Crassus
534,,Papirius,Cursor
536,,Manlius,(Torquatus)
538,,Aemilius,Mamercinus
539,,Iunius,Brutus
541,,Sulpicius,Longus
542,,Aelius,Paetus
543,,Claudius,Crassus)
544,,Claudius,Hortator
547,,Atilius,Regulus
548,,Postumius,Albinus
549,,Veturius,Calvinus
550,,Cornelius,Rufinus
552,,Domitius,Calvinus
553,,Papirius,Crassus
555,,Cornelius,Calussa
556,,Valerius,Potitus
557,,Claudius,Marcellus
559,,Fabius,Maximus
560,,Plautius,Venox or Venno
561,,Plautius,Decianus
562,,Plautius,Proculus
563,,Cornelius,Scapula
565,,Cornelius,Lentulus
570,,Valerius,Maximus
571,,Aulius,Cerretanus
572,,Fulvius,Curvus
576,,Aemilius,Papus
577,,Valerius,Flaccus
579,,Folius,Flaccinator
584,,Plautius,Venox or Venno
585,,Papirius,Crassus
587,,Iunius,Bubulcus
588,,Aemilius,Barbula
589,,Nautius,Rutilus
590,,Popillius,Laenas
591,,Claudius,Caecus
592,,Fabius,Ambustus
593,,Poetelius,Libo
595,,Fulvius,Longus
596,,Decius,Mus
597,,Plautius,Venox
599,,Laetorius,Mergus
601,,Marcius,Rutilus
603,,Sempronius,Sophus
604,,Fabius,(Maximus)
608,,Volumnius,Flamma
609,,Postumius,Megellus
610,,Marcius,Tremulus
611,,Cornelius,Arvina
612,,Cornelius,Scipio
614,,Minucius,Augurinus
615,,Fulvius,Curvus
617,,Sulpicius,Saverrio
619,,Anicius,Praenestinus
621,,Cornelius,Barbatus
622,,Cornelius,Lentulus
623,,Genucius,Aventinensis
624,,Livius,Denter
625,,Aemilius,Paullus
628,,Cornelius,Scipio
629,,Fulvius,Maximus
630,,Appuleius,Pansa
632,,Ogulnius,Gallus
633,,Genucius,(Augurinus)
634,,Minucius,Faesus
636,,Fulvius,Paetinus
637,,Manlius,Torquatus
638,,Domitius,Calvinus
639,,Carvilius,Maximus
640,,Papirius,Cursor
641,,Curius,Dentatus
642,,Fabius,Maximus
644,,Aelius,Paetus
645,,Fulvius,Curvus
646,,Manlius,Torquatus
647,,Atilius,Regulus
648,,Opimius,Pansa
649,,Carvilius,Maximus
652,,Iunius,Brutus
655,,Papirius,(Cursor)
657,,Iunius,Bubulcus
658,,Cornelius,Rufinus
659,,Papirius,Maso
660,,Caedicius,Noctua
661,,Cornelius,Arvina
662,,Claudius,Marcellus
663,,Nautius,Rutilus
665,,Valerius,Maximus
666,,Aelius,Paetus
668,,Claudius,Canina
669,,Aemilius,Lepidus
671,,Aemilius,Barbula
672,,Servilius,Tucca
673,,Caecilius,Metellus
674,,Cornelius,Dolabella
675,,Fabricius,Luscinus
676,,Aemilius,Papus
677,,Vibellius,Campanus
679,,Valerius,(Flaccus)
680,,Aemilius,Barbula
681,,Marcius,Philippus
682,,Valerius,Laevinus
684,,Sulpicius,Saverrio
685,,Decius,Mus
687,,Genucius,Clepsina
688,,Cornelius,Lentulus
689,,Cornelius,Merenda
690,,Postumius,Albinus
691,,Fabius,Licinus
692,,Fabius,Pictor
695,,Papirius,Praetextatus
696,,Quinctius,Claudus
697,,Genucius,Clepsina
698,,Cornelius,Blasio
699,,Fulvius,Flaccus
700,,Fabius,Pictor
701,,Sempronius,Sophus
702,,Claudius,Russus
703,,Atilius,Regulus
704,,Iulius,Libo
707,,Iunius,Pera
709,,Fabius,Maximus
710,,Mamilius,Vitulus
712,,Fabius,Maximus
713,,Claudius,Caudex
716,,Valerius,Maximus
718,,Postumius,Megellus
719,,Mamilius,Vitulus
720,,Valerius,Flaccus
721,,Otacilius,Crassus
722,,Cornelius,Scipio
723,,Cornelius,Scipio
726,,Aquillius,Florus
727,,Atilius,Caiatinus
728,,Sulpicius,Paterculus
730,,Calpurnius,Flamma
732,,Atilius,Regulus
733,,Laetorius,Plancianus
734,,Manlius,Vulso
737,,Calpurnius,Crassus
738,,Fulvius,Paetinus
739,,Aemilius,Paullus
740,,Mamilius,Turrinus
742,,Servilius,Caepio
743,,Sempronius,Blaesus
744,,Claudius,Pulcher
745,,Furius,Pacilus
746,,Aurelius,Cotta
747,,Servilius,Geminus
748,,Aurelius,Pecuniola
751,,Caecilius,Metellus
752,,Cornelius,Sulla
753,,Iunius,Pullus
754,,Claudius,Glicia
755,,Fundanius,Fundulus
757,,Fabius,Buteo
758,,Manlius,Torquatus
759,,Otacilius,Crassus
760,,Fabius,Licinus
761,,Sempronius,Gracchus
762,,Fabius,Buteo
763,,Atilius,Bulbus
764,,Sulpicius,Galus
765,,Lutatius,Catulus
766,,Postumius,Albinus
767,,Valerius,Falto
768,,Lutatius,Cerco
770,,Publicius,Malleolus
771,,Publicius,Malleolus
776,,Claudius,Centho
777,,Sempronius,Tuditanus
778,,Mamilius,Turrinus
779,,Valerius,Falto
780,,Cornelius,Lentulus
781,,Fulvius,Flaccus
782,,Cornelius,Lentulus
783,,Licinius,Varus
784,,Claudius,Clineas
785,,Aemilius,(Lepidus)
786,,Livius,Salinator
787,,Manlius,Torquatus
788,,Postumius,Albinus
789,,Carvilius,Maximus
791,,Pomponius,Matho
792,,Aemilius,Lepidus
796,,Aemilius,Barbula
797,,Iunius,Pera
798,,Octavius,Rufus
803,,Fulvius,Centumalus
805,,Valerius,Flaccus
806,,Atilius,Regulus
807,,Valerius,Laevinus
808,,Valerius,(Maximus)
809,,Apustius,Fullo
810,,Claudius,Marcellus
811,,Scantinius,Capitolinus
812,,Aemilius,Papus
813,,Atilius,Regulus
814,,Furius,Philus
815,,Cornelius,Cethegus
817,,Cornelius,Scipio
818,,Terentius,Varro
819,,Cornelius,Scipio
820,,Minucius,Rufus
822,,Mucius,Scaevola
823,,Lutatius,Catulus
824,,Veturius,Philo
826,,Aemilius,Paullus
827,,Livius,Salinator
828,,Furius,Bibaculus
830,,Baebius,Tamphilus
831,,Furius,Bibaculus
832,,Cornelius,Scipio
833,,Sempronius,Longus
835,,Atilius,Serranus
836,,Manlius,(Vulso)
840,,Licinius,(Varus)
845,,Servilius,(Geminus)
849,,Papirius,Maso
851,,Cornelius,Scipio
852,,Servilius,Geminus
853,,Pomponius,Matho
854,,Aemilius,Regillus
855,,Cornelius,Mammula
856,,Otacilius,Crassus
857,,Pomponius,(Matho)
858,,Claudius,Pulcher
860,,Sempronius,Blaesus
865,,Quinctius,Flamininus
866,,Sempronius,Gracchus
870,,Aurelius,Cotta
871,,Claudius,Marcellus
872,,Baebius,Herennius
874,,Scribonius,Libo
876,,Furius,Bibaculus
877,,Cornelius,Lentulus
878,,Cornelius,Scipio
879,,Fabius,Maximus
881,,Publicius,Bibulus
882,,Sempronius,Tuditanus
883,,Fabius,Pictor
885,,Iunius,Silanus
889,,Aelius,Paetus
891,,Caecilius,Metellus
897,,Antistius,Reginus
899,,Maecilius,Croto
901,,Valerius,Antias
902,,Valerius,Flaccus
903,,Cornelius,Lentulus
904,,Fulvius,Centumalus
905,,Caecilius,Metellus
907,,Porcius,Cato
908,,Claudius,Nero
909,,Livius,(Macatus)
910,,Naevius,Crista
912,,Atilius,Regulus
913,,Fundanius,Fundulus
914,,Villius,Tappulus
916,,Quinctius,Crispinus
918,,Pomponius,Veientanus
919,,Servilius,Caepio
921,,Papirius,Maso
923,,Cornelius,Sulla
924,,Fulvius,Flaccus
925,,Iunius,Silanus
926,,Licinius,Crassus
929,,Servilius,Casca
930,,Valerius,Flaccus
931,,Servilius,Geminus
936,,Sulpicius,Galba
938,,Cornelius,Lentulus
939,,Sulpicius,(Galus)
942,,Sempronius,Blaesus
943,,Marcius,Septimius
945,,Fulvius,Flaccus
948,,Porcius,Licinus
949,,Veturius,Philo
952,,Livius,Salinator
953,,Servilius,Pulex
957,,Cincius,Alimentus
958,,Manlius,Acidinus
959,,Manlius,Vulso
960,,Licinius,Varus
966,,Calpurnius,Piso
967,,Furius,Purpurio
971,,Popillius,(Laenas)
976,,Sempronius,Longus
977,,Quinctius,Flamininus
980,,Cornelius,Dolabella
981,,Aemilius,Papus
982,,Mamilius,Atellus
984,,Hostilius,Tubulus
985,,Cornelius,Lentulus
986,,Cornelius,Lentulus
987,,Sulpicius,Galba
988,,Publicius,Bibulus
990,,Decimius,Flavus
991,,Sempronius,Tuditanus
993,,Valerius,Flaccus
994,,Claudius,(Flamen)
995,,Iulius,Caesar
996,,Caecilius,Metellus
997,,Claudius,Marcellus
999,,Quinctius,Flamininus
1002,,Licinius,Pollio
1006,,Aelius,Paetus
1007,,Hostilius,(Cato)
1008,,Hostilius,Cato
1009,,Cornelius,Lentulus
1010,,Pomponius,Matho
1011,,Mamilius,Turrinus
1014,,Claudius,Asellus
1016,,Cornelius,Scipio
1019,,Claudius,Asellus
1021,,Tremellius,Flaccus
1022,,Valerius,Falto
1023,,Cornelius,Lentulus
1024,,Aemilius,Papus
1025,,Iunius,Pennus
1031,,Veturius,Philo
1032,,Claudius,Nero
1033,,Marcius,Ralla
1034,,Villius,Tappulus
1035,,Baebius,Tamphilus
1036,,Cincius,Alimentus
1041,,Quinctilius,Varus
1042,,Fabius,Buteo
1043,,Sextius,Sabinus
1051,,Fulvius,Gillo
1052,,Baebius,Dives
1053,,Fabius,Maximus
1054,,Aurelius,Cotta
1055,,Fulvius,(Gillo)
1056,,Licinius,Lucullus
1057,,Aelius,Tubero
1060,,Sulpicius,Galba
1062,,Minucius,Rufus
1063,,Acilius,Glabrio
1064,,Minucius,Thermus
1065,,Cornelius,Cethegus
1067,,Aemilius,Lepidus
1071,,Hostilius,Cato
1072,,Fulvius,Flaccus
1073,,Sergius,Plautus
1074,,Aelius,Paetus
1075,,Terentius,Massiliota
1077,,Cornelius,Scipio
1079,,Claudius,Centho
1081,,Furius,Crassipes
1084,,Porcius,Laeca
1085,,Cornelius,Blasio
1088,,Apustius,(Fullo)
1090,,Cornelius,Scipio
1091,,Cornelius,Merula
1092,,Sempronius,Tuditanus
1095,,Claudius,Nero
1097,,Fabius,(Buteo)
1100,,Manlius,Vulso
1101,,Minucius,Rufus
1102,,Sergius,Silus
1103,,Manlius,Vulso
1105,,Oppius,Salinator
1106,,Iuventius,(Thalna)
1109,,Fulvius,Nobilior
1110,,Domitius,Ahenobarbus
1111,,Scribonius,Curio
1113,,Atinius,Labeo
1114,,Licinius,Lucullus
1115,,Marcius,Ralla
1117,,Fabius,Labeo
1118,,Claudius,Pulcher
1123,,Iunius,Silanus
1124,,Sempronius,Gracchus
1125,,Claudius,Pulcher
1127,,Fabricius,Luscinus
1128,,Manlius,(Vulso)
1129,,Publicius,Bibulus
1131,,Iunius,Brutus
1132,,Iunius,Brutus
1133,,Valerius,Tappo
1134,,Aemilius,Paullus
1135,,Terentius,Culleo
1137,,Cornelius,Merenda
1139,,Iuventius,Thalna
1140,,Atilius,Serranus
1141,,Scribonius,Libo
1143,,Postumius,Tympanus
1149,,Iunius,Brutus
1151,,Manlius,Vulso
1152,,Aelius,Tubero
1154,,Porcius,Licinus
1157,,Sempronius,Tuditanus
1163,,Baebius,Tamphilus
1164,,Fulvius,Centumalus
1165,,Salonius,Sarra
1168,,Titinius,Curvus
1169,,Cornelius,Mammula
1170,,Postumius,Albinus
1171,,Sempronius,Blaesus
1172,,Postumius,Albinus
1173,,Sulpicius,Galus
1175,,Aemilius,Regillus
1176,,Atinius,Labeo
1179,,Furius,Aculeo
1180,,Aemilius,Lepidus
1182,,Sempronius,Gracchus
1183,,Terentius,Varro
1184,,Claudius,Lepidus
1185,,Aemilius,(Regillus)
1186,,Aemilius,Scaurus
1187,,Atilius,Serranus
1188,,Fabius,Pictor
1190,,Plautius,Hypsaeus
1191,,Claudius,Pulcher
1192,,Sulpicius,Galba
1194,,Fulvius,Flaccus
1195,,Sempronius,Gracchus
1196,,Sempronius,Rutilus
1197,,Cornelius,Merula
1198,,Aurelius,Cotta
1200,,Valerius,Laevinus
1201,,Valerius,Messalla
1204,,Manlius,Acidinus
1205,,Marcius,Philippus
1207,,Valerius,Tappo
1208,,Fabius,(Buteo)
1209,,Fabius,Maximus
1212,,Cornelius,Cethegus
1213,,Furius,Luscus
1214,,Sempronius,Blaesus
1219,,Petillius,Spurinus
1221,,Aurelius,Scaurus
1222,,Calpurnius,Piso
1223,,Cornelius,Sulla
1224,,Licinius,Lucullus
1226,,Quinctius,Crispinus
1227,,Afranius,Stellio
1228,,Atilius,Serranus
1229,,Claudius,Marcellus
1231,,Postumius,Tempsanus
1232,,Valerius,Laevinus
1235,,Claudius,Nero
1236,,Iuventius,Thalna
1237,,Quinctilius,Varus
1238,,Cornelius,Cethegus
1239,,Decimius,Flavus
1240,,Naevius,Matho
1241,,Sempronius,Longus
1242,,Fulvius,Flaccus
1245,,Minucius,Augurinus
1247,,Fulvius,Flaccus
1248,,Fulvius,Nobilior
1249,,Cornelius,Sisenna
1250,,Iulius,(Caesar)
1251,,Postumius,Albinus
1253,,Aebutius,Parrus
1254,,Caecilius,Denter
1255,,Ogulnius,Gallus
1256,,Terentius,Istra
1259,,Minucius,Thermus
1260,,Aurelius,Cotta
1263,,Fabius,Buteo
1264,,Pinarius,Rusca (or Posca)
1265,,Iulius,Caesar
1270,,Acilius,Glabrio
1271,,Porcius,Licinus
1272,,Lucretius,Gallus
1274,,Cornelius,Mammula
1275,,Hostilius,Mancinus
1277,,Minucius,Molliculus
1278,,Postumius,Albinus
1279,,Villius,Annalis
1281,,Fulvius,(Nobilior)
1282,,Cornelius,Dolabella
1283,,Popillius,Laenas
1284,,Popillius,Laenas
1285,,Cornelius,Scipio
1286,,Fulvius,Nobilior
1287,,Cloelius,Siculus
1288,,Mucius,Scaevola
1289,,Mucius,Scaevola
1290,,Claudius,Centho
1291,,Servilius,Caepio
1295,,Claudius,Nero
1296,,Cluvius,Saxula
1297,,Fonteius,Capito
1301,,Aelius,(or
1304,,Cassius,Longinus
1305,,Licinius,Strabo
1309,,Cornelius,Scipio
